ZIP_CODE	TERRITORY_ID	TERRITORY_NAME	CITY	STATE	REGION_ID	REGION_NAME
00000	99999	UNASSIGNED	KADMON	KADMON	9000	UNASSIGNED
00001	99999	UNASSIGNED	KADMON	KADMON	9000	UNASSIGNED
00002	99999	UNASSIGNED	YUKON FLATS NAT WILDLIFE	AK	9000	UNASSIGNED
00003	99999	UNASSIGNED	ALASKA PENINSULA NWR	AK	9000	UNASSIGNED
00004	99999	UNASSIGNED	W KENAI PENINSULA BOROUG	AK	9000	UNASSIGNED
00005	99999	UNASSIGNED	N LAKE AND PENINSULA BOR	AK	9000	UNASSIGNED
00006	99999	UNASSIGNED	MATANUSKA-SUSTINA BOR	AK	9000	UNASSIGNED
00007	99999	UNASSIGNED	SOUTHERLY NORTH SLOPE BO	AK	9000	UNASSIGNED
00009	99999	UNASSIGNED	LAKE CLARK NATIONAL PRES	AK	9000	UNASSIGNED
00010	99999	UNASSIGNED	YUKON DELTA WILDERNESS	AK	9000	UNASSIGNED
00011	99999	UNASSIGNED	KENAI NTL WILDLIFE REF	AK	9000	UNASSIGNED
00012	30001	WEST	MT MEADOWS AREA	CA	3000	WEST
00014	30001	WEST	WEST PIMA COUNTY	AZ	3000	WEST
00015	30001	WEST	CORONADO NTL FOREST	AZ	3000	WEST
00016	30001	WEST	SEQUOIA NATIONAL FOREST	CA	3000	WEST
00017	30001	WEST	NORTHEAST FRESNO COUNTY	CA	3000	WEST
00018	30001	WEST	LOS PADRES NTL FOREST	CA	3000	WEST
00019	30001	WEST	LASSEN NTL FOREST	CA	3000	WEST
00020	30001	WEST	SIERRA NATIONAL FOREST	CA	3000	WEST
00022	30001	WEST	JACKSON ST FOREST	CA	3000	WEST
00026	30001	WEST	EAST TULARE COUNTY	CA	3000	WEST
00027	30001	WEST	PIKE NTL FOREST	CO	3000	WEST
00028	30001	WEST	PLUMAS NTL FOREST	CA	3000	WEST
00029	30001	WEST	TAHOE NATIONAL FOREST	CA	3000	WEST
00031	30001	WEST	LASSEN NATIONAL FOREST	CA	3000	WEST
00032	30001	WEST	LOS PADRES NTL FOREST	CA	3000	WEST
00033	30001	WEST	TAHOE NATIONAL FOREST	CA	3000	WEST
00034	30001	WEST	KLAMATH NATIONAL FOREST	CA	3000	WEST
00035	30001	WEST	MODOC/SHASTA/KLAMATH FOR	CA	3000	WEST
00037	30001	WEST	WEST TEHAMA COUNTY	CA	3000	WEST
00038	30001	WEST	EAST TEHAMA COUNTY	CA	3000	WEST
00039	30001	WEST	SOUTHEAST TRINITY COUNTY	CA	3000	WEST
00040	30001	WEST	YOSEMITE NTL PARK	CA	3000	WEST
00041	10001	EAST	WEST BROWARD COUNTY	FL	1000	EAST
00042	10001	EAST	SOUTHWEST BREVARD CNTY	FL	1000	EAST
00043	10001	EAST	EVERGLADES	FL	1000	EAST
00044	30001	WEST	SOUTH ALPINE COUNTY	CA	3000	WEST
00045	10001	EAST	SOUTHEAST MARION CNTY	FL	1000	EAST
00047	30001	WEST	WEST GLENN COUNTY	CA	3000	WEST
00048	30001	WEST	MENDOCINO NTL FOREST	CA	3000	WEST
00049	30001	WEST	SIX RIVERS NATIONAL FORE	CA	3000	WEST
00050	30001	WEST	SIX RIVERS NTL FOREST	CA	3000	WEST
00051	30001	WEST	ELDORADO NTL FOREST	CA	3000	WEST
00052	30001	WEST	ELDORADO NTL FOREST	CA	3000	WEST
00053	10001	EAST	SOUTHWEST PALM BEACH CO	FL	1000	EAST
